Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num.1,Pct.1,Num.2,Pct.2,Status,Name,Birthday,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds.1,Y/Rt,TD.1,Fmb,FL,FF,FR,Yds.2,TD.2,Att,Y/A,Pts,TD.3,Int,PD,Yds.3,TD.4,Sfty,Ret,Y/R.1,Yds.4,2PM,Cmp,Att.1,Cmp%,Rate,Y/A.1,AY/A,Yds.5,TD.5,Yds.6,TD.6,Sk.1,Int.1,Yds.7,TD.7,XPM,XPA,XP%,FGM,FGA,FG%,Pnt,Y/P,Blck
18.0,2001.0,2001-09-23,2.0,2.0,24.024,SEA,"",PHI,L 3-27,"","","","","","","","","","","","","","",Shaun Alexander,1977-08-30,0,0,6,"",0,0.0%,"","",0,"",0,0,"",0,0,0,0,3,2.00,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
19.0,2001.0,2001-09-30,3.0,3.0,24.031,SEA,@,OAK,L 14-38,"","","","","","","","","","","","","","",Shaun Alexander,1977-08-30,8,7,18,9.43,1,87.5%,8.25,"",66,"",0,1,1,0,0,0,1,10,1.80,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
20.0,2001.0,2001-10-07,4.0,4.0,24.038,SEA,"",JAX,W 24-15,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,4,2,176,7.50,2,50.0%,3.75,"",15,"",0,0,"",0,0,0,2,31,5.68,12,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
21.0,2001.0,2001-10-14,5.0,5.0,24.045,SEA,"",DEN,W 34-21,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,3,2,142,12.00,2,66.7%,8.00,"",24,"",0,1,1,0,0,0,2,33,4.30,12,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
22.0,2001.0,2001-10-28,6.0,7.0,24.059,SEA,"",MIA,L 20-24,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,2,1,87,9.00,0,50.0%,4.50,"",9,"",0,2,2,0,0,0,0,23,3.78,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
23.0,2001.0,2001-11-04,7.0,8.0,24.066,SEA,@,WAS,L 14-27,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,5,4,60,10.50,1,80.0%,8.40,"",42,"",0,0,"",0,0,0,1,13,4.62,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24.0,2001.0,2001-11-11,8.0,9.0,24.073,SEA,"",OAK,W 34-27,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,1,1,266,7.00,3,100.0%,7.00,"",7,"",0,0,"",0,1,8,3,35,7.60,18,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25.0,2001.0,2001-11-18,9.0,10.0,24.08,SEA,@,BUF,W 23-20,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,4,4,93,3.75,1,100.0%,3.75,"",15,"",0,0,"",0,0,0,1,25,3.72,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
26.0,2001.0,2001-11-25,10.0,11.0,24.087,SEA,@,KAN,L 7-19,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,8,6,43,10.33,0,75.0%,7.75,"",62,"",1,0,"",0,0,0,1,13,3.31,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
27.0,2001.0,2001-12-02,11.0,12.0,24.094,SEA,"",SDG,W 13-10,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,6,4,87,3.50,1,66.7%,2.33,"",14,"",0,0,"",0,0,0,1,29,3.00,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
28.0,2001.0,2001-12-09,12.0,13.0,24.101,SEA,@,DEN,L 7-20,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,3,2,28,2.00,0,66.7%,1.33,"",4,"",0,0,"",0,0,0,0,12,2.33,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
29.0,2001.0,2001-12-16,13.0,14.0,24.108,SEA,"",DAL,W 29-3,"","","","","","","","","","","","","","",Shaun Alexander,1977-08-30,0,0,27,"",1,0.0%,"","",0,"",0,0,"",0,0,0,1,7,3.86,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
30.0,2001.0,2001-12-23,14.0,15.0,24.115,SEA,@,NYG,L 24-27,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,5,3,96,12.00,1,60.0%,7.20,"",36,"",1,0,"",0,1,0,2,28,3.43,12,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
31.0,2001.0,2001-12-30,15.0,16.0,24.122,SEA,@,SDG,W 25-22,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,2,2,59,9.00,0,100.0%,9.00,"",18,"",0,0,"",0,1,0,0,23,2.57,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
32.0,2001.0,2002-01-06,16.0,17.0,24.129,SEA,"",KAN,W 21-18,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,7,6,127,5.17,1,85.7%,4.43,"",31,"",0,0,"",0,0,0,1,20,6.35,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
33.0,2002.0,2002-09-08,1.0,1.0,25.009,SEA,@,OAK,L 17-31,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,6,6,36,6.00,0,100.0%,6.00,"",36,"",1,1,0,0,0,0,1,13,2.77,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34.0,2002.0,2002-09-15,2.0,2.0,25.016,SEA,"",ARI,L 13-24,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,6,6,37,7.67,0,100.0%,7.67,"",46,"",0,0,"",0,0,0,0,17,2.18,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35.0,2002.0,2002-09-22,3.0,3.0,25.023,SEA,@,NYG,L 6-9,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,3,2,37,4.00,0,66.7%,2.67,"",8,"",0,0,"",0,0,0,0,14,2.64,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
36.0,2002.0,2002-09-29,4.0,4.0,25.03,SEA,"",MIN,W 48-23,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,5,3,139,30.67,4,60.0%,18.40,"",92,"",1,0,"",0,0,0,5,24,5.79,30,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
37.0,2002.0,2002-10-14,5.0,6.0,25.045,SEA,"",SFO,L 21-28,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,5,4,96,6.25,1,80.0%,5.00,"",25,"",0,0,"",0,1,0,1,25,3.84,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
38.0,2002.0,2002-10-20,6.0,7.0,25.051,SEA,@,STL,L 20-37,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,4,1,30,16.00,0,25.0%,4.00,"",16,"",0,0,"",0,1,0,0,12,2.50,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
39.0,2002.0,2002-10-27,7.0,8.0,25.058,SEA,@,DAL,W 17-14,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,8,7,58,5.43,2,87.5%,4.75,"",38,"",0,0,"",0,0,0,2,23,2.52,12,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
40.0,2002.0,2002-11-03,8.0,9.0,25.065,SEA,"",WAS,L 3-14,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,9,8,67,6.00,0,88.9%,5.33,"",48,"",0,0,"",0,0,0,0,19,3.53,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
41.0,2002.0,2002-11-10,9.0,10.0,25.072,SEA,@,ARI,W 27-6,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,3,1,42,2.00,2,33.3%,0.67,"",2,"",0,0,"",0,0,0,2,12,3.50,12,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
42.0,2002.0,2002-11-17,10.0,11.0,25.079,SEA,"",DEN,L 9-31,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,8,6,18,3.83,0,75.0%,2.88,"",23,"",0,0,"",0,0,0,0,11,1.64,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
43.0,2002.0,2002-11-24,11.0,12.0,25.086,SEA,"",KAN,W 39-32,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,2,1,145,6.00,2,50.0%,3.00,"",6,"",0,0,"",0,0,0,2,23,6.30,12,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
44.0,2002.0,2002-12-01,12.0,13.0,25.093,SEA,@,SFO,L 24-31,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,10,8,74,9.63,0,80.0%,7.70,"",77,"",0,1,0,0,1,0,0,16,4.63,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
45.0,2002.0,2002-12-08,13.0,14.0,25.1,SEA,"",PHI,L 20-27,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,3,3,123,2.67,0,100.0%,2.67,"",8,"",0,0,"",0,0,0,0,17,7.24,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
46.0,2002.0,2002-12-15,14.0,15.0,25.107,SEA,@,ATL,W 30-24,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,1,1,127,15.00,2,100.0%,15.00,"",15,"",0,1,1,0,0,0,2,28,4.54,12,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
47.0,2002.0,2002-12-22,15.0,16.0,25.114,SEA,"",STL,W 30-10,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,2,1,79,6.00,2,50.0%,3.00,"",6,"",0,0,"",0,0,0,2,26,3.04,12,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
48.0,2002.0,2002-12-29,16.0,17.0,25.121,SEA,@,SDG,W 31-28,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,3,1,67,14.00,1,33.3%,4.67,"",14,"",0,0,"",0,0,0,1,15,4.47,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
49.0,2003.0,2003-09-07,1.0,1.0,26.008,SEA,"",NOR,W 27-10,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,3,2,108,8.00,1,66.7%,5.33,"",16,"",1,0,"",0,1,0,2,24,4.50,12,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
50.0,2003.0,2003-09-14,2.0,2.0,26.015,SEA,@,ARI,W 38-0,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,2,2,51,5.50,1,100.0%,5.50,"",11,"",0,0,"",0,0,0,1,13,3.92,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
51.0,2003.0,2003-09-21,3.0,3.0,26.022,SEA,"",STL,W 24-23,"","","","","","","","","","","","","","",Shaun Alexander,1977-08-30,3,3,58,2.67,0,100.0%,2.67,"",8,"",0,0,"",0,0,0,0,14,4.14,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
52.0,2003.0,2003-10-05,4.0,5.0,26.036,SEA,@,GNB,L 13-35,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,5,3,102,4.33,1,60.0%,2.60,"",13,"",0,1,1,0,0,0,1,20,5.10,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
53.0,2003.0,2003-10-12,5.0,6.0,26.043,SEA,"",SFO,W 20-19,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,5,3,77,15.33,0,60.0%,9.20,"",46,"",0,0,"",0,0,0,0,22,3.50,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
54.0,2003.0,2003-10-19,6.0,7.0,26.05,SEA,"",CHI,W 24-17,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,4,4,101,5.25,2,100.0%,5.25,"",21,"",0,0,"",0,0,0,2,21,4.81,12,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
55.0,2003.0,2003-10-26,7.0,8.0,26.057,SEA,@,CIN,L 24-27,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,9,7,86,7.43,0,77.8%,5.78,"",52,"",1,0,"",0,0,0,1,20,4.30,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
56.0,2003.0,2003-11-02,8.0,9.0,26.064,SEA,"",PIT,W 23-16,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,3,3,48,6.33,1,100.0%,6.33,"",19,"",0,0,"",0,0,0,1,20,2.40,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
57.0,2003.0,2003-11-09,9.0,10.0,26.071,SEA,@,WAS,L 20-27,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,1,0,94,"",1,0.0%,0.00,"",0,"",0,1,0,0,1,0,1,22,4.27,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
58.0,2003.0,2003-11-16,10.0,11.0,26.078,SEA,"",DET,W 35-14,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,7,5,110,5.40,1,71.4%,3.86,"",27,"",0,0,"",0,0,0,1,20,5.50,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
59.0,2003.0,2003-11-23,11.0,12.0,26.085,SEA,@,BAL,L 41-44,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,2,1,72,0.00,0,50.0%,0.00,"",0,"",0,0,"",0,0,0,0,22,3.27,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
60.0,2003.0,2003-11-30,12.0,13.0,26.092,SEA,"",CLE,W 34-7,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,3,2,127,5.00,1,66.7%,3.33,"",10,"",0,0,"",0,0,0,1,27,4.70,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
61.0,2003.0,2003-12-07,13.0,14.0,26.099,SEA,@,MIN,L 7-34,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,3,1,56,8.00,1,33.3%,2.67,"",8,"",0,1,1,0,0,0,1,14,4.00,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
62.0,2003.0,2003-12-14,14.0,15.0,26.106,SEA,@,STL,L 22-27,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,3,2,126,4.00,1,66.7%,2.67,"",8,"",0,0,"",0,0,0,1,25,5.04,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
63.0,2003.0,2003-12-21,15.0,16.0,26.113,SEA,"",ARI,W 28-10,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,2,1,135,7.00,2,50.0%,3.50,"",7,"",0,1,1,0,0,0,2,21,6.43,12,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
64.0,2003.0,2003-12-27,16.0,17.0,26.119,SEA,@,SFO,W 24-17,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,4,3,84,16.33,1,75.0%,12.25,"",49,"",0,0,"",0,0,0,1,21,4.00,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
65.0,2004.0,2004-09-12,1.0,1.0,27.013,SEA,@,NOR,W 21-7,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,2,2,135,15.50,2,100.0%,15.50,"",31,"",1,0,"",0,0,0,3,28,4.82,18,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
66.0,2004.0,2004-09-19,2.0,2.0,27.02,SEA,@,TAM,W 10-6,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,1,0,45,"",0,0.0%,0.00,"",0,"",0,0,"",0,0,0,0,17,2.65,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
67.0,2004.0,2004-09-26,3.0,3.0,27.027,SEA,"",SFO,W 34-0,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,4,4,52,5.50,2,100.0%,5.50,"",22,"",1,0,"",0,0,0,3,19,2.74,18,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
68.0,2004.0,2004-10-10,4.0,5.0,27.041,SEA,"",STL,L 27-33,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,1,1,150,4.00,1,100.0%,4.00,"",4,"",0,0,"",0,0,0,1,23,6.52,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
69.0,2004.0,2004-10-17,5.0,6.0,27.048,SEA,@,NWE,L 20-30,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,5,2,77,15.00,1,40.0%,6.00,"",30,"",0,1,0,0,1,0,1,16,4.81,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
70.0,2004.0,2004-10-24,6.0,7.0,27.055,SEA,@,ARI,L 17-25,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,1,0,65,"",0,0.0%,0.00,"",0,"",0,0,"",0,0,0,0,12,5.42,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
71.0,2004.0,2004-10-31,7.0,8.0,27.062,SEA,"",CAR,W 23-17,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,4,3,195,4.33,1,75.0%,3.25,"",13,"",1,0,"",0,0,0,2,32,6.09,12,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
72.0,2004.0,2004-11-07,8.0,9.0,27.069,SEA,@,SFO,W 42-27,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,0,0,160,"",2,0.0%,"","",0,"",0,0,"",0,0,0,2,26,6.15,12,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
73.0,2004.0,2004-11-14,9.0,10.0,27.076,SEA,@,STL,L 12-23,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,2,1,176,3.00,0,50.0%,1.50,"",3,"",0,1,1,0,0,0,0,22,8.00,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
74.0,2004.0,2004-11-21,10.0,11.0,27.083,SEA,"",MIA,W 24-17,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,1,0,96,"",1,0.0%,0.00,"",0,"",0,0,"",0,0,0,1,29,3.31,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
75.0,2004.0,2004-11-28,11.0,12.0,27.09,SEA,"",BUF,L 9-38,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,1,0,39,"",0,0.0%,0.00,"",0,"",0,0,"",0,0,0,0,13,3.00,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
76.0,2004.0,2004-12-06,12.0,13.0,27.098,SEA,"",DAL,L 39-43,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,6,3,83,7.00,2,50.0%,3.50,"",21,"",0,1,1,0,0,0,2,21,3.95,12,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
77.0,2004.0,2004-12-12,13.0,14.0,27.104,SEA,@,MIN,W 27-23,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,2,1,112,12.00,0,50.0%,6.00,"",12,"",1,0,"",0,0,0,1,27,4.15,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
78.0,2004.0,2004-12-19,14.0,15.0,27.111,SEA,@,NYJ,L 14-37,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,5,4,77,4.75,0,80.0%,3.80,"",19,"",0,1,1,0,0,0,0,19,4.05,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
79.0,2004.0,2004-12-26,15.0,16.0,27.118,SEA,"",ARI,W 24-21,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,1,0,154,"",3,0.0%,0.00,"",0,"",0,1,0,0,1,0,3,30,5.13,18,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
80.0,2004.0,2005-01-02,16.0,17.0,27.125,SEA,"",ATL,W 28-26,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,2,2,80,7.50,1,100.0%,7.50,"",15,"",0,0,"",0,0,0,1,19,4.21,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
81.0,2005.0,2005-09-11,1.0,1.0,28.012,SEA,@,JAX,L 14-26,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,0,0,73,"",0,0.0%,"","",0,"",0,0,"",0,0,0,0,14,5.21,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
82.0,2005.0,2005-09-18,2.0,2.0,28.019,SEA,"",ATL,W 21-18,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,3,2,144,5.50,1,66.7%,3.67,"",11,"",0,0,"",0,0,0,1,28,5.14,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
83.0,2005.0,2005-09-25,3.0,3.0,28.026,SEA,"",ARI,W 37-12,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,1,0,140,"",4,0.0%,0.00,"",0,"",0,0,"",0,0,0,4,22,6.36,24,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
